Entity,Code,Day,people_vaccinated
Alaska,,2021-09-07,403340
Alaska,,2021-09-08,403628
Alaska,,2021-09-09,405012
Alaska,,2021-09-10,406535
Alaska,,2021-09-11,407729
Alaska,,2021-09-12,407843
Alaska,,2021-09-13,409122
Alaska,,2021-09-14,409742
Alaska,,2021-09-15,410256
Alaska,,2021-09-16,411055
Alaska,,2021-09-17,411978
Alaska,,2021-09-18,412682
Alaska,,2021-09-19,413503
Alaska,,2021-09-20,413884
Alaska,,2021-09-21,414037
Alaska,,2021-09-22,414509
Alaska,,2021-09-23,415478
Alaska,,2021-09-24,415602
Alaska,,2021-09-25,415735
Alaska,,2021-09-26,415883
Alaska,,2021-09-27,417709
Alaska,,2021-09-28,417974
Alaska,,2021-09-29,418566
Alaska,,2021-09-30,419056
Alaska,,2021-10-01,419730
Alaska,,2021-10-02,420423
Alaska,,2021-10-03,420472
Alaska,,2021-10-04,421324
Alaska,,2021-10-05,421543
Alaska,,2021-10-06,421985
Alaska,,2021-10-07,422424
Alaska,,2021-10-08,423085
Alaska,,2021-10-09,423561
Alaska,,2021-10-12,424544
Alaska,,2021-10-13,424831
Alaska,,2021-10-14,425519
Alaska,,2021-10-15,426234
Alaska,,2021-10-16,426807
Alaska,,2021-10-17,426843
Alaska,,2021-10-18,426867
Alaska,,2021-10-19,428813
Alaska,,2021-10-20,428865
Alaska,,2021-10-21,429352
Alaska,,2021-10-22,430458
Alaska,,2021-10-23,431007
Alaska,,2021-10-24,431503
Alaska,,2021-10-25,431835
Alaska,,2021-10-26,432116
Alaska,,2021-10-27,432619
Alaska,,2021-10-28,433303
Alaska,,2021-10-29,434005
Alaska,,2021-10-30,434722
Alaska,,2021-10-31,434826
Alaska,,2021-11-01,435696
Alaska,,2021-11-02,436014
Alaska,,2021-11-03,436091
Alaska,,2021-11-04,436276
Alaska,,2021-11-05,437494
Alaska,,2021-11-06,438100
Alaska,,2021-11-07,438180
Alaska,,2021-11-08,439232
Alaska,,2021-11-09,439443
Alaska,,2021-11-10,439841
Alaska,,2021-11-12,441944
Alaska,,2021-11-13,444240
Alaska,,2021-11-14,446329
Alaska,,2021-11-15,447338
Alaska,,2021-11-16,447405
Alaska,,2021-11-17,449616
Alaska,,2021-11-18,450794
Alaska,,2021-11-19,451692
Alaska,,2021-11-20,452720
Alaska,,2021-11-21,452836
Alaska,,2021-11-22,452900
Alaska,,2021-11-23,454857
Alaska,,2021-11-24,455580
Alaska,,2021-11-29,456888
Alaska,,2021-11-30,459412
Alaska,,2021-12-01,460421
Alaska,,2021-12-02,461561
Alaska,,2021-12-03,462617
Alaska,,2021-12-04,463701
Alaska,,2021-12-05,463778
Alaska,,2021-12-06,465240
Alaska,,2021-12-07,465480
Alaska,,2021-12-08,466058
Alaska,,2021-12-09,466770
Alaska,,2021-12-10,467390
Alaska,,2021-12-11,467984
Alaska,,2021-12-12,468030
Alaska,,2021-12-13,468867
Alaska,,2021-12-14,469106
Alaska,,2021-12-15,469553
Alaska,,2021-12-16,470301
Alaska,,2021-12-17,470791
Alaska,,2021-12-18,471208
